Group,ID,List,Target,ACC,RT,logRT,Critical_Filler,Word_Nonword,Relation_type,Branching
L1,L1_03,C,cegression,1,658,6.4892,Filler,Nonword,Phonological,NA
L1,L1_03,C,megulation,1,1259,7.1381,Filler,Nonword,Phonological,NA
L1,L1_03,C,unwariness,1,1117,7.0184,Critical,Word,Constituent,Left
L1,L1_03,C,gepression,1,814,6.7020,Filler,Nonword,Unrelated,NA
L1,L1_03,C,feltowship,1,753,6.6241,Filler,Nonword,Phonological,NA
L1,L1_03,C,journelist,1,905,6.8079,Filler,Nonword,Unrelated,NA
L1,L1_03,C,categerize,1,796,6.6796,Filler,Nonword,Phonological,NA
L1,L1_03,C,unkindness,1,986,6.8937,Critical,Word,Constituent,Left
L1,L1_03,C,gategorical,1,796,6.6796,Filler,Nonword,Unrelated,NA
L1,L1_03,C,bejection,1,651,6.4785,Filler,Nonword,Unrelated,NA
L1,L1_03,C,capotalist,1,694,6.5425,Filler,Nonword,Unrelated,NA
L1,L1_03,C,untouchable,1,898,6.8002,Critical,Word,Constituent,Right
L1,L1_03,C,unsharpness,1,810,6.6970,Critical,Word,Unrelated,Left
L1,L1_03,C,supplement,1,683,6.5265,Filler,Word,Phonological,NA
L1,L1_03,C,elastecity,1,1169,7.0639,Filler,Nonword,Phonological,NA
L1,L1_03,C,adsurdly,1,741,6.6080,Filler,Nonword,Unrelated,NA
L1,L1_03,C,impediment,1,715,6.5723,Filler,Word,Semantic,NA
L1,L1_03,C,fersistent,1,677,6.5177,Filler,Nonword,Phonological,NA
L1,L1_03,C,accentuation,0,906,6.8090,Filler,Word,Semantic,NA
L1,L1_03,C,megardless,1,847,6.7417,Filler,Nonword,Phonological,NA
L1,L1_03,C,ahvertiser,1,587,6.3750,Filler,Nonword,Phonological,NA
L1,L1_03,C,unhappiness,1,599,6.3953,Critical,Word,NonConstituent,Left
L1,L1_03,C,ocservatory,1,564,6.3351,Filler,Nonword,Phonological,NA
L1,L1_03,C,acceleration,1,900,6.8024,Filler,Word,Semantic,NA
L1,L1_03,C,matherhood,1,715,6.5723,Filler,Nonword,Phonological,NA
L1,L1_03,C,electricity,1,663,6.4968,Filler,Word,Phonological,NA
L1,L1_03,C,crofessional,1,594,6.3869,Filler,Nonword,Unrelated,NA
L1,L1_03,C,reattachable,1,927,6.8320,Critical,Word,Unrelated,Left
L1,L1_03,C,candidacy,0,1351,7.2086,Filler,Word,Phonological,NA
L1,L1_03,C,shiendship,1,598,6.3936,Filler,Nonword,Phonological,NA
L1,L1_03,C,recomputable,1,1407,7.2492,Critical,Word,NonConstituent,Left
L1,L1_03,C,original,1,659,6.4907,Filler,Word,Semantic,NA
L1,L1_03,C,bictimize,1,640,6.4615,Filler,Nonword,Phonological,NA
L1,L1_03,C,fisterhood,1,589,6.3784,Filler,Nonword,Unrelated,NA
L1,L1_03,C,department,1,765,6.6399,Filler,Word,Phonological,NA
L1,L1_03,C,reusable,1,653,6.4816,Critical,Word,Constituent,Left
L1,L1_03,C,teasurement,1,812,6.6995,Filler,Nonword,Phonological,NA
L1,L1_03,C,innovakive,1,789,6.6708,Filler,Nonword,Unrelated,NA
L1,L1_03,C,darenthood,1,617,6.4249,Filler,Nonword,Phonological,NA
L1,L1_03,C,resealable,1,848,6.7429,Critical,Word,NonConstituent,Left
L1,L1_03,C,property,1,693,6.5410,Filler,Word,Phonological,NA
L1,L1_03,C,pevelopment,1,738,6.6039,Filler,Nonword,Phonological,NA
L1,L1_03,C,unawareness,1,551,6.3117,Critical,Word,NonConstituent,Left
L1,L1_03,C,rehydratable,0,642,6.4646,Critical,Word,Unrelated,Left
L1,L1_03,C,reclosable,1,886,6.7867,Critical,Word,Constituent,Left
L1,L1_03,C,unresentful,1,799,6.6834,Critical,Word,Unrelated,Right
L1,L1_03,C,unripeness,1,1024,6.9315,Critical,Word,NonConstituent,Left
L1,L1_03,C,unmovable,1,624,6.4362,Critical,Word,Constituent,Right
L1,L1_03,C,tublicize,1,769,6.6451,Filler,Nonword,Phonological,NA
L1,L1_03,C,bederalism,1,929,6.8341,Filler,Nonword,Phonological,NA
L1,L1_03,C,rospitalize,1,701,6.5525,Filler,Nonword,Unrelated,NA
L1,L1_03,C,resellable,1,673,6.5117,Critical,Word,Unrelated,Left
L1,L1_03,C,untruthful,1,681,6.5236,Critical,Word,Constituent,Right
L1,L1_03,C,lengthwise,0,719,6.5779,Filler,Nonword,Phonological,NA
L1,L1_03,C,unavoidable,1,672,6.5103,Critical,Word,Unrelated,Right
L1,L1_03,C,rumiliation,1,713,6.5695,Filler,Nonword,Unrelated,NA
L1,L1_03,C,letirement,1,945,6.8512,Filler,Nonword,Unrelated,NA
L1,L1_03,C,banoshment,1,765,6.6399,Filler,Nonword,Phonological,NA
L1,L1_03,C,merformance,1,725,6.5862,Filler,Nonword,Unrelated,NA
L1,L1_03,C,hontractor,1,586,6.3733,Filler,Nonword,Phonological,NA
L1,L1_03,C,studious,1,896,6.7979,Filler,Word,Phonological,NA
L1,L1_03,C,uneventful,0,654,6.4831,Critical,Word,Unrelated,Right
L1,L1_03,C,haturalism,1,711,6.5667,Filler,Nonword,Unrelated,NA
L1,L1_03,C,reterminism,1,972,6.8794,Filler,Nonword,Phonological,NA
L1,L1_03,C,mitigation,1,1018,6.9256,Filler,Word,Semantic,NA
L1,L1_03,C,emuivalence,1,845,6.7393,Filler,Nonword,Unrelated,NA
L1,L1_03,C,ungraceful,1,734,6.5985,Critical,Word,Constituent,Right
L1,L1_03,C,unclearness,1,744,6.6120,Critical,Word,Unrelated,Left
L1,L1_03,C,vechanize,0,994,6.9017,Filler,Nonword,Phonological,NA
L1,L1_03,C,entertainer,1,965,6.8721,Filler,Word,Phonological,NA
L1,L1_03,C,readjustable,1,680,6.5221,Critical,Word,NonConstituent,Left
L1,L1_03,C,frosperous,1,838,6.7310,Filler,Nonword,Phonological,NA
L1,L1_03,C,embarrassment,1,772,6.6490,Filler,Word,Semantic,NA
L1,L1_03,C,nistributor,1,838,6.7310,Filler,Nonword,Unrelated,NA
L1,L1_03,C,uncleverness,1,974,6.8814,Critical,Word,Constituent,Left
